Company,Sector,PE,3Y High,3Y Low,% Assets
Healthcare Global Enterprises,Healthcare,0.00,3.89,0.00,1.86
Asian Granito India,Construction,27.46,2.98,0.00,1.81
NRB Bearings,Engineering,13.34,2.39,0.00,1.77
VA Tech Wabag,Engineering,11.34,3.13,0.00,1.76
DCB Bank,Financial,15.79,1.85,0.00,1.64
India Cements,Construction,21.18,3.59,0.10,1.63
Heritage Foods,FMCG,18.03,1.88,0.00,1.61
738. Sundaram Select Micro Cap Series XII - Regular Plan
Navin Fluorine International,Chemicals,25.37,4.68,0.00,4.44
Grindwell Norton,Metals,40.49,4.41,2.11,4.41
Kalpataru Power Trans,Construction,16.99,4.10,0.00,4.02
Heidelberg Cement India,Construction,17.08,4.09,0.00,3.94
Kei Industries,Engineering,21.95,3.19,0.00,3.19
JK Cement,Construction,19.87,3.28,0.00,3.17
INOX Leisure,Services,29.50,3.15,0.00,3.15
Ashoka Buildcon,Construction,10.52,3.58,0.00,2.53
MM Forgings,Metals,12.85,3.28,0.00,2.36
Thyrocare Technologies,Healthcare,30.47,2.34,0.00,2.34
Astra Microwave Products,Communication,0.00,3.36,1.77,2.32
Praj Industries,Engineering,28.30,4.83,0.00,2.23
Tube Investments Of India,Automobile,26.69,2.19,0.00,2.19
Mahindra Holidays & Resorts,Services,42.44,2.79,0.00,2.09
Subros,Automobile,17.07,2.34,0.00,2.08
Timken India,Engineering,35.15,1.98,0.00,1.98
Navneet Education,FMCG,11.37,2.47,1.20,1.89
JB Chemicals & Pharma,Healthcare,14.27,1.99,0.00,1.82
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,56.84,1.87,0.00,1.79
NRB Bearings,Engineering,13.34,2.40,0.00,1.78
Healthcare Global Enterprises,Healthcare,0.00,3.72,1.75,1.77
VA Tech Wabag,Engineering,11.34,3.13,0.00,1.77
Asian Granito India,Construction,27.46,2.89,0.00,1.75
India Cements,Construction,21.18,3.85,0.00,1.75
DCB Bank,Financial,15.79,1.84,0.00,1.63
739. Sundaram Select Micro Cap Series XIV - Regular Plan
Navin Fluorine International,Chemicals,25.37,4.70,0.00,4.44
Grindwell Norton,Metals,40.49,4.36,0.00,4.36
Heidelberg Cement India,Construction,17.08,3.94,0.00,3.94
Kalpataru Power Trans,Construction,16.99,3.49,0.00,3.37
JK Cement,Construction,19.87,3.34,0.00,3.21
Kei Industries,Engineering,21.95,3.18,0.00,3.18
INOX Leisure,Services,29.50,3.16,0.00,3.16
Johnson Controls - Hitachi Air Conditioning India,Cons Durable,56.84,2.71,0.00,2.61
Ashoka Buildcon,Construction,10.52,3.44,0.00,2.55
MM Forgings,Metals,12.85,3.34,0.00,2.44
Thyrocare Technologies,Healthcare,30.47,2.30,0.00,2.30
Tube Investments Of India,Automobile,26.69,2.18,0.00,2.18
Praj Industries,Engineering,28.30,4.46,0.45,2.16
Subros,Automobile,17.07,2.34,0.00,2.12
Rajapalayam Mills,Textiles,22.86,2.55,0.26,2.12
Ramco Industries,Construction,20.11,2.33,0.00,2.00
Astra Microwave Products,Communication,0.00,2.88,0.31,1.99
Timken India,Engineering,35.15,1.95,0.00,1.95
Navneet Education,FMCG,11.37,1.90,0.00,1.90
Mahindra Holidays & Resorts,Services,42.44,2.48,0.44,1.89
Asian Granito India,Construction,27.46,2.94,0.25,1.81
VA Tech Wabag,Engineering,11.34,2.95,0.24,1.79
NRB Bearings,Engineering,13.34,2.51,0.00,1.78
ISGEC Heavy Engineering,Engineering,20.27,2.23,0.00,1.71
Heritage Foods,FMCG,18.03,2.02,0.00,1.58
740. Sundaram Select Micro Cap Series XV - Regular Plan
Navin Fluorine International,Chemicals,25.37,4.74,0.00,4.47
Grindwell Norton,Metals,40.49,4.36,0.00,4.36
Heidelberg Cement India,Construction,17.08,3.95,0.00,3.95
Kalpataru Power Trans,Construction,16.99,3.42,0.00,3.31
JK Cement,Construction,19.87,3.40,0.00,3.26
Kei Industries,Engineering,21.95,3.18,0.00,3.18
